kpiId,dataRowId,period,value,unit
GHG_EMISSIONS,1,2024Q1,245.8,t-CO2
GHG_EMISSIONS,2,2024Q2,289300,kg-CO2
GHG_EMISSIONS,3,2024Q3,201.5,t-CO2
ENERGY_USAGE,4,2024Q1,1245.2,MWh
ENERGY_USAGE,5,2024Q2,,MWh
ENERGY_USAGE,6,2024Q3,1089.5,kWh
WATER_USAGE,7,2024Q1,25789,L
WATER_USAGE,8,2024Q2,28.45,m3
WATER_USAGE,9,2024Q3,,L
WASTE_AMOUNT,10,2024Q1,156.7,t
WASTE_AMOUNT,11,2024Q2,189400,kg
WASTE_AMOUNT,12,2024Q3,-5.2,t
EMPLOYEE_COUNT,13,2024Q1,1250,人
EMPLOYEE_COUNT,14,2024Q2,1280,名
EMPLOYEE_COUNT,15,2024Q3,99999999,人
ABNORMAL_KPI,16,2024Q1,999999999,unknown
MIXED_UNITS,17,2024Q1,100,unit1
MIXED_UNITS,18,2024Q2,200,unit2
INVALID_VALUE,19,2024Q1,not_a_number,kg
BLANK_UNIT,20,2024Q1,150,
SPECIAL_CHARS,21,2024Q1,123.45,"kg/m²"
ZERO_VALUES,22,2024Q1,0,kg
ZERO_VALUES,23,2024Q2,0.0,kg
NEGATIVE_VALUE,24,2024Q1,-100,t
DECIMAL_PRECISION,25,2024Q1,123.456789,kg
LARGE_DECIMAL,26,2024Q1,0.000001,mg 
